Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Bjørnholt;SN18500;08.10.2025;12,4
Oslo - Blindern;SN18700;08.10.2025;14,6
Oslo - Bygdøy Ii;SN18810;08.10.2025;14,8
Oslo - Hovin;SN18210;08.10.2025;14,4
Tryvannshøgda;SN18950;08.10.2025;10,9
Trondheim - Voll;SN68860;08.10.2025;10,9
Trondheim - Voll Plu;SN68863;08.10.2025;11,1
Stavanger - Våland;SN44640;08.10.2025;13,1
Bergen - Florida;SN50540;08.10.2025;13,7
Bergen - Florida Uib;SN50539;08.10.2025;13,8
Bjørnholt;SN18500;09.10.2025;12,4
Oslo - Blindern;SN18700;09.10.2025;14,7
Oslo - Bygdøy Ii;SN18810;09.10.2025;14,9
Oslo - Hovin;SN18210;09.10.2025;14,5
Tryvannshøgda;SN18950;09.10.2025;10,6
Trondheim - Voll;SN68860;09.10.2025;11,7
Trondheim - Voll Plu;SN68863;09.10.2025;11,5
Stavanger - Våland;SN44640;09.10.2025;12,4
Bergen - Florida;SN50540;09.10.2025;12,5
Bergen - Florida Uib;SN50539;09.10.2025;12,7
Bjørnholt;SN18500;10.10.2025;13,4
Oslo - Blindern;SN18700;10.10.2025;15,1
Oslo - Bygdøy Ii;SN18810;10.10.2025;16,3
Oslo - Hovin;SN18210;10.10.2025;16
Tryvannshøgda;SN18950;10.10.2025;12,2
Trondheim - Voll;SN68860;10.10.2025;12
Trondheim - Voll Plu;SN68863;10.10.2025;11,6
Stavanger - Våland;SN44640;10.10.2025;12,7
Bergen - Florida;SN50540;10.10.2025;12,5
Bergen - Florida Uib;SN50539;10.10.2025;12,5
Bjørnholt;SN18500;11.10.2025;16,1
Oslo - Blindern;SN18700;11.10.2025;17
Oslo - Bygdøy Ii;SN18810;11.10.2025;17,5
Oslo - Hovin;SN18210;11.10.2025;17,1
Tryvannshøgda;SN18950;11.10.2025;13,9
Trondheim - Voll;SN68860;11.10.2025;11,1
Trondheim - Voll Plu;SN68863;11.10.2025;10,6
Stavanger - Våland;SN44640;11.10.2025;14
Bergen - Florida;SN50540;11.10.2025;12,5
Bergen - Florida Uib;SN50539;11.10.2025;12,5
Bjørnholt;SN18500;12.10.2025;12,9
Oslo - Blindern;SN18700;12.10.2025;15,1
Oslo - Bygdøy Ii;SN18810;12.10.2025;16,1
Oslo - Hovin;SN18210;12.10.2025;15,3
Tryvannshøgda;SN18950;12.10.2025;11,9
Trondheim - Voll;SN68860;12.10.2025;7,5
Trondheim - Voll Plu;SN68863;12.10.2025;7,4
Stavanger - Våland;SN44640;12.10.2025;13,9
Bergen - Florida;SN50540;12.10.2025;14,4
Bergen - Florida Uib;SN50539;12.10.2025;14,5
Bjørnholt;SN18500;13.10.2025;11,1
Oslo - Blindern;SN18700;13.10.2025;10,8
Oslo - Bygdøy Ii;SN18810;13.10.2025;10,8
Oslo - Hovin;SN18210;13.10.2025;10,4
Tryvannshøgda;SN18950;13.10.2025;10,3
Trondheim - Voll;SN68860;13.10.2025;10,6
Trondheim - Voll Plu;SN68863;13.10.2025;10,3
Stavanger - Våland;SN44640;13.10.2025;13,5
Bergen - Florida;SN50540;13.10.2025;11,4
Bergen - Florida Uib;SN50539;13.10.2025;11,4
Bjørnholt;SN18500;14.10.2025;16,2
Oslo - Blindern;SN18700;14.10.2025;16,3
Oslo - Bygdøy Ii;SN18810;14.10.2025;15,9
Oslo - Hovin;SN18210;14.10.2025;16,5
Tryvannshøgda;SN18950;14.10.2025;15,3
Trondheim - Voll;SN68860;14.10.2025;10,9
Trondheim - Voll Plu;SN68863;14.10.2025;10,7
Stavanger - Våland;SN44640;14.10.2025;15,6
Bergen - Florida;SN50540;14.10.2025;13,2
Bergen - Florida Uib;SN50539;14.10.2025;13,3
Bjørnholt;SN18500;15.10.2025;14,2
Oslo - Blindern;SN18700;15.10.2025;15,4
Oslo - Bygdøy Ii;SN18810;15.10.2025;13,6
Oslo - Hovin;SN18210;15.10.2025;16,2
Tryvannshøgda;SN18950;15.10.2025;13,5
Trondheim - Voll;SN68860;15.10.2025;11,2
Trondheim - Voll Plu;SN68863;15.10.2025;11
Stavanger - Våland;SN44640;15.10.2025;14
Bergen - Florida;SN50540;15.10.2025;12
Bergen - Florida Uib;SN50539;15.10.2025;12
Bjørnholt;SN18500;16.10.2025;11
Oslo - Blindern;SN18700;16.10.2025;13,3
Oslo - Bygdøy Ii;SN18810;16.10.2025;12,9
Oslo - Hovin;SN18210;16.10.2025;12,8
Tryvannshøgda;SN18950;16.10.2025;10,4
Trondheim - Voll;SN68860;16.10.2025;10,1
Trondheim - Voll Plu;SN68863;16.10.2025;9,9
Stavanger - Våland;SN44640;16.10.2025;13,1
Bergen - Florida;SN50540;16.10.2025;12,3
Bergen - Florida Uib;SN50539;16.10.2025;12,5
Bjørnholt;SN18500;17.10.2025;7,5
Oslo - Blindern;SN18700;17.10.2025;8,9
Oslo - Bygdøy Ii;SN18810;17.10.2025;9,7
Oslo - Hovin;SN18210;17.10.2025;9,1
Tryvannshøgda;SN18950;17.10.2025;6,6
Trondheim - Voll;SN68860;17.10.2025;6
Trondheim - Voll Plu;SN68863;17.10.2025;6,1
Stavanger - Våland;SN44640;17.10.2025;10,1
Bergen - Florida;SN50540;17.10.2025;10,2
Bergen - Florida Uib;SN50539;17.10.2025;10,2
Bjørnholt;SN18500;18.10.2025;8,3
Oslo - Blindern;SN18700;18.10.2025;8,3
Oslo - Bygdøy Ii;SN18810;18.10.2025;7,6
Oslo - Hovin;SN18210;18.10.2025;8,4
Tryvannshøgda;SN18950;18.10.2025;7,2
Trondheim - Voll;SN68860;18.10.2025;7,8
Trondheim - Voll Plu;SN68863;18.10.2025;7,6
Stavanger - Våland;SN44640;18.10.2025;9,6
Bergen - Florida;SN50540;18.10.2025;9,8
Bergen - Florida Uib;SN50539;18.10.2025;9,7
Bjørnholt;SN18500;19.10.2025;6,9
Oslo - Blindern;SN18700;19.10.2025;7,3
Oslo - Bygdøy Ii;SN18810;19.10.2025;7,8
Oslo - Hovin;SN18210;19.10.2025;7,1
Tryvannshøgda;SN18950;19.10.2025;4,9
Trondheim - Voll;SN68860;19.10.2025;9,4
Trondheim - Voll Plu;SN68863;19.10.2025;9,2
Stavanger - Våland;SN44640;19.10.2025;12,3
Bergen - Florida;SN50540;19.10.2025;11
Bergen - Florida Uib;SN50539;19.10.2025;11
Bjørnholt;SN18500;20.10.2025;3,4
Oslo - Blindern;SN18700;20.10.2025;5,9
Oslo - Bygdøy Ii;SN18810;20.10.2025;6,4
Oslo - Hovin;SN18210;20.10.2025;5,9
Tryvannshøgda;SN18950;20.10.2025;2,9
Trondheim - Voll;SN68860;20.10.2025;7,9
Trondheim - Voll Plu;SN68863;20.10.2025;7,7
Stavanger - Våland;SN44640;20.10.2025;11,5
Bergen - Florida;SN50540;20.10.2025;12
Bergen - Florida Uib;SN50539;20.10.2025;12
Bjørnholt;SN18500;21.10.2025;5,9
Oslo - Blindern;SN18700;21.10.2025;8,2
Oslo - Bygdøy Ii;SN18810;21.10.2025;8,5
Oslo - Hovin;SN18210;21.10.2025;8,3
Tryvannshøgda;SN18950;21.10.2025;5,2
Trondheim - Voll;SN68860;21.10.2025;8,8
Trondheim - Voll Plu;SN68863;21.10.2025;8,6
Stavanger - Våland;SN44640;21.10.2025;13,2
Bergen - Florida;SN50540;21.10.2025;12,3
Bergen - Florida Uib;SN50539;21.10.2025;12,4
Bjørnholt;SN18500;22.10.2025;9,7
Oslo - Blindern;SN18700;22.10.2025;11,3
Oslo - Bygdøy Ii;SN18810;22.10.2025;11,7
Oslo - Hovin;SN18210;22.10.2025;11,9
Tryvannshøgda;SN18950;22.10.2025;8,8
Trondheim - Voll;SN68860;22.10.2025;13,1
Trondheim - Voll Plu;SN68863;22.10.2025;13
Stavanger - Våland;SN44640;22.10.2025;12,7
Bergen - Florida;SN50540;22.10.2025;12,3
Bergen - Florida Uib;SN50539;22.10.2025;12,3
Bjørnholt;SN18500;23.10.2025;9,9
Oslo - Blindern;SN18700;23.10.2025;11,5
Oslo - Bygdøy Ii;SN18810;23.10.2025;12,1
Oslo - Hovin;SN18210;23.10.2025;11,6
Tryvannshøgda;SN18950;23.10.2025;8,8
Trondheim - Voll;SN68860;23.10.2025;10,7
Trondheim - Voll Plu;SN68863;23.10.2025;10,5
Stavanger - Våland;SN44640;23.10.2025;11,3
Bergen - Florida;SN50540;23.10.2025;10,7
Bergen - Florida Uib;SN50539;23.10.2025;10,9
Bjørnholt;SN18500;24.10.2025;8,7
Oslo - Blindern;SN18700;24.10.2025;11
Oslo - Bygdøy Ii;SN18810;24.10.2025;11,4
Oslo - Hovin;SN18210;24.10.2025;10,7
Tryvannshøgda;SN18950;24.10.2025;7,7
Trondheim - Voll;SN68860;24.10.2025;8,3
Trondheim - Voll Plu;SN68863;24.10.2025;8,2
Stavanger - Våland;SN44640;24.10.2025;14,2
Bergen - Florida;SN50540;24.10.2025;14
Bergen - Florida Uib;SN50539;24.10.2025;14
Bjørnholt;SN18500;25.10.2025;7,9
Oslo - Blindern;SN18700;25.10.2025;10,7
Oslo - Bygdøy Ii;SN18810;25.10.2025;11,4
Oslo - Hovin;SN18210;25.10.2025;11,1
Tryvannshøgda;SN18950;25.10.2025;7
Trondheim - Voll;SN68860;25.10.2025;11,4
Trondheim - Voll Plu;SN68863;25.10.2025;11,2
Stavanger - Våland;SN44640;25.10.2025;13,5
Bergen - Florida;SN50540;25.10.2025;12,3
Bergen - Florida Uib;SN50539;25.10.2025;12,4
Bjørnholt;SN18500;26.10.2025;7,1
Oslo - Blindern;SN18700;26.10.2025;9,5
Oslo - Bygdøy Ii;SN18810;26.10.2025;10,1
Oslo - Hovin;SN18210;26.10.2025;9,2
Tryvannshøgda;SN18950;26.10.2025;5,7
Trondheim - Voll;SN68860;26.10.2025;8,9
Trondheim - Voll Plu;SN68863;26.10.2025;8,6
Stavanger - Våland;SN44640;26.10.2025;11
Bergen - Florida;SN50540;26.10.2025;11,4
Bergen - Florida Uib;SN50539;26.10.2025;11,6
Bjørnholt;SN18500;27.10.2025;6,9
Oslo - Blindern;SN18700;27.10.2025;9,3
Oslo - Bygdøy Ii;SN18810;27.10.2025;9,8
Oslo - Hovin;SN18210;27.10.2025;9,2
Tryvannshøgda;SN18950;27.10.2025;6,1
Trondheim - Voll;SN68860;27.10.2025;7,4
Trondheim - Voll Plu;SN68863;27.10.2025;7,3
Stavanger - Våland;SN44640;27.10.2025;10,6
Bergen - Florida;SN50540;27.10.2025;12,6
Bergen - Florida Uib;SN50539;27.10.2025;12,8
Bjørnholt;SN18500;28.10.2025;5,8
Oslo - Blindern;SN18700;28.10.2025;7
Oslo - Bygdøy Ii;SN18810;28.10.2025;6,7
Oslo - Hovin;SN18210;28.10.2025;6,2
Tryvannshøgda;SN18950;28.10.2025;6,3
Trondheim - Voll;SN68860;28.10.2025;6,7
Trondheim - Voll Plu;SN68863;28.10.2025;6,5
Stavanger - Våland;SN44640;28.10.2025;9,1
Bergen - Florida;SN50540;28.10.2025;10
Bergen - Florida Uib;SN50539;28.10.2025;10,1
Bjørnholt;SN18500;29.10.2025;4,3
Oslo - Blindern;SN18700;29.10.2025;8
Oslo - Bygdøy Ii;SN18810;29.10.2025;7,6
Oslo - Hovin;SN18210;29.10.2025;7,3
Tryvannshøgda;SN18950;29.10.2025;4
Trondheim - Voll;SN68860;29.10.2025;6
Trondheim - Voll Plu;SN68863;29.10.2025;6,1
Stavanger - Våland;SN44640;29.10.2025;9
Bergen - Florida;SN50540;29.10.2025;9,1
Bergen - Florida Uib;SN50539;29.10.2025;9,3
Bjørnholt;SN18500;30.10.2025;3,6
Oslo - Blindern;SN18700;30.10.2025;6,3
Oslo - Bygdøy Ii;SN18810;30.10.2025;6,9
Oslo - Hovin;SN18210;30.10.2025;6,1
Tryvannshøgda;SN18950;30.10.2025;2,3
Trondheim - Voll;SN68860;30.10.2025;3,3
Trondheim - Voll Plu;SN68863;30.10.2025;3,3
Stavanger - Våland;SN44640;30.10.2025;11,1
Bergen - Florida;SN50540;30.10.2025;9,3
Bergen - Florida Uib;SN50539;30.10.2025;9,3
Bjørnholt;SN18500;31.10.2025;2,7
Oslo - Blindern;SN18700;31.10.2025;5,3
Oslo - Bygdøy Ii;SN18810;31.10.2025;5,2
Oslo - Hovin;SN18210;31.10.2025;4,9
Tryvannshøgda;SN18950;31.10.2025;2,1
Trondheim - Voll;SN68860;31.10.2025;4,1
Trondheim - Voll Plu;SN68863;31.10.2025;3,9
Stavanger - Våland;SN44640;31.10.2025;11,2
Bergen - Florida;SN50540;31.10.2025;13,3
Bergen - Florida Uib;SN50539;31.10.2025;13,4
Bjørnholt;SN18500;01.11.2025;6,1
Oslo - Blindern;SN18700;01.11.2025;8,3
Oslo - Bygdøy Ii;SN18810;01.11.2025;8,8
Oslo - Hovin;SN18210;01.11.2025;8,6
Tryvannshøgda;SN18950;01.11.2025;5,5
Trondheim - Voll;SN68860;01.11.2025;9,1
Trondheim - Voll Plu;SN68863;01.11.2025;9
Stavanger - Våland;SN44640;01.11.2025;12,5
Bergen - Florida;SN50540;01.11.2025;14,7
Bergen - Florida Uib;SN50539;01.11.2025;14,7
Bjørnholt;SN18500;02.11.2025;7,1
Oslo - Blindern;SN18700;02.11.2025;8,9
Oslo - Bygdøy Ii;SN18810;02.11.2025;9,5
Oslo - Hovin;SN18210;02.11.2025;9,2
Tryvannshøgda;SN18950;02.11.2025;6,4
Trondheim - Voll;SN68860;02.11.2025;10,5
Trondheim - Voll Plu;SN68863;02.11.2025;10,4
Stavanger - Våland;SN44640;02.11.2025;11,4
Bergen - Florida;SN50540;02.11.2025;11,6
Bergen - Florida Uib;SN50539;02.11.2025;11,6
Bjørnholt;SN18500;03.11.2025;6,4
Oslo - Blindern;SN18700;03.11.2025;9,4
Oslo - Bygdøy Ii;SN18810;03.11.2025;10,1
Oslo - Hovin;SN18210;03.11.2025;9,5
Tryvannshøgda;SN18950;03.11.2025;5,5
Trondheim - Voll;SN68860;03.11.2025;10,5
Trondheim - Voll Plu;SN68863;03.11.2025;10,4
Stavanger - Våland;SN44640;03.11.2025;11,2
Bergen - Florida;SN50540;03.11.2025;11
Bergen - Florida Uib;SN50539;03.11.2025;11,1
Bjørnholt;SN18500;04.11.2025;11
Oslo - Blindern;SN18700;04.11.2025;13,6
Oslo - Bygdøy Ii;SN18810;04.11.2025;14,1
Oslo - Hovin;SN18210;04.11.2025;14
Tryvannshøgda;SN18950;04.11.2025;9,8
Trondheim - Voll;SN68860;04.11.2025;11,6
Trondheim - Voll Plu;SN68863;04.11.2025;11,8
Stavanger - Våland;SN44640;04.11.2025;12,7
Bergen - Florida;SN50540;04.11.2025;13,2
Bergen - Florida Uib;SN50539;04.11.2025;13,2
Bjørnholt;SN18500;05.11.2025;10,5
Oslo - Blindern;SN18700;05.11.2025;12,6
Oslo - Bygdøy Ii;SN18810;05.11.2025;13,3
Oslo - Hovin;SN18210;05.11.2025;13
Tryvannshøgda;SN18950;05.11.2025;9,5
Trondheim - Voll;SN68860;05.11.2025;10,7
Trondheim - Voll Plu;SN68863;05.11.2025;10,6
Stavanger - Våland;SN44640;05.11.2025;12,9
Bergen - Florida;SN50540;05.11.2025;12,6
Bergen - Florida Uib;SN50539;05.11.2025;12,5
Bjørnholt;SN18500;06.11.2025;10,3
Oslo - Blindern;SN18700;06.11.2025;11,7
Oslo - Bygdøy Ii;SN18810;06.11.2025;12,2
Oslo - Hovin;SN18210;06.11.2025;12
Tryvannshøgda;SN18950;06.11.2025;9,5
Trondheim - Voll;SN68860;06.11.2025;8,7
Trondheim - Voll Plu;SN68863;06.11.2025;8,4
Stavanger - Våland;SN44640;06.11.2025;15
Bergen - Florida;SN50540;06.11.2025;14,2
Bergen - Florida Uib;SN50539;06.11.2025;14,2
Bjørnholt;SN18500;07.11.2025;9,8
Oslo - Blindern;SN18700;07.11.2025;11,4
Oslo - Bygdøy Ii;SN18810;07.11.2025;11,6
Oslo - Hovin;SN18210;07.11.2025;11,5
Tryvannshøgda;SN18950;07.11.2025;9
Trondheim - Voll;SN68860;07.11.2025;5,9
Trondheim - Voll Plu;SN68863;07.11.2025;5,8
Stavanger - Våland;SN44640;07.11.2025;14
Bergen - Florida;SN50540;07.11.2025;14,1
Bergen - Florida Uib;SN50539;07.11.2025;14,1
Bjørnholt;SN18500;08.11.2025;6,9
Oslo - Blindern;SN18700;08.11.2025;9,6
Oslo - Bygdøy Ii;SN18810;08.11.2025;9,8
Oslo - Hovin;SN18210;08.11.2025;9,9
Tryvannshøgda;SN18950;08.11.2025;6
Trondheim - Voll;SN68860;08.11.2025;8,3
Trondheim - Voll Plu;SN68863;08.11.2025;8,1
Stavanger - Våland;SN44640;08.11.2025;11,5
Bergen - Florida;SN50540;08.11.2025;12,7
Bergen - Florida Uib;SN50539;08.11.2025;12,6
Bjørnholt;SN18500;09.11.2025;4,9
Oslo - Blindern;SN18700;09.11.2025;7,3
Oslo - Bygdøy Ii;SN18810;09.11.2025;8
Oslo - Hovin;SN18210;09.11.2025;7,6
Tryvannshøgda;SN18950;09.11.2025;4,7
Trondheim - Voll;SN68860;09.11.2025;9,2
Trondheim - Voll Plu;SN68863;09.11.2025;9
Stavanger - Våland;SN44640;09.11.2025;11,1
Bergen - Florida;SN50540;09.11.2025;11,3
Bergen - Florida Uib;SN50539;09.11.2025;11,3
Bjørnholt;SN18500;10.11.2025;4,5
Oslo - Blindern;SN18700;10.11.2025;6,3
Oslo - Bygdøy Ii;SN18810;10.11.2025;6,8
Oslo - Hovin;SN18210;10.11.2025;5,8
Tryvannshøgda;SN18950;10.11.2025;3,2
Trondheim - Voll;SN68860;10.11.2025;3,6
Trondheim - Voll Plu;SN68863;10.11.2025;3,4
Stavanger - Våland;SN44640;10.11.2025;11,4
Bergen - Florida;SN50540;10.11.2025;11,7
Bergen - Florida Uib;SN50539;10.11.2025;11,7
Bjørnholt;SN18500;11.11.2025;6
Oslo - Blindern;SN18700;11.11.2025;7,9
Oslo - Bygdøy Ii;SN18810;11.11.2025;8,1
Oslo - Hovin;SN18210;11.11.2025;8,1
Tryvannshøgda;SN18950;11.11.2025;5
Trondheim - Voll;SN68860;11.11.2025;4,3
Trondheim - Voll Plu;SN68863;11.11.2025;4,2
Stavanger - Våland;SN44640;11.11.2025;11,9
Bergen - Florida;SN50540;11.11.2025;12,7
Bergen - Florida Uib;SN50539;11.11.2025;12,7
Bjørnholt;SN18500;12.11.2025;9,7
Oslo - Blindern;SN18700;12.11.2025;11,7
Oslo - Bygdøy Ii;SN18810;12.11.2025;12,4
Oslo - Hovin;SN18210;12.11.2025;12,4
Tryvannshøgda;SN18950;12.11.2025;8,7
Trondheim - Voll;SN68860;12.11.2025;8,4
Trondheim - Voll Plu;SN68863;12.11.2025;8,2
Stavanger - Våland;SN44640;12.11.2025;11,9
Bergen - Florida;SN50540;12.11.2025;12,3
Bergen - Florida Uib;SN50539;12.11.2025;12,3
Bjørnholt;SN18500;13.11.2025;8,3
Oslo - Blindern;SN18700;13.11.2025;10,4
Oslo - Bygdøy Ii;SN18810;13.11.2025;11,3
Oslo - Hovin;SN18210;13.11.2025;10,8
Tryvannshøgda;SN18950;13.11.2025;6,9
Trondheim - Voll;SN68860;13.11.2025;5,4
Trondheim - Voll Plu;SN68863;13.11.2025;5,1
Stavanger - Våland;SN44640;13.11.2025;11,1
Bergen - Florida;SN50540;13.11.2025;11,1
Bergen - Florida Uib;SN50539;13.11.2025;11,1
Bjørnholt;SN18500;14.11.2025;2,1
Oslo - Blindern;SN18700;14.11.2025;4
Oslo - Bygdøy Ii;SN18810;14.11.2025;3,7
Oslo - Hovin;SN18210;14.11.2025;4,4
Tryvannshøgda;SN18950;14.11.2025;1,1
Trondheim - Voll;SN68860;14.11.2025;1,7
Trondheim - Voll Plu;SN68863;14.11.2025;1,9
Stavanger - Våland;SN44640;14.11.2025;5,1
Bergen - Florida;SN50540;14.11.2025;4,9
Bergen - Florida Uib;SN50539;14.11.2025;5
Bjørnholt;SN18500;15.11.2025;-0,7
Oslo - Blindern;SN18700;15.11.2025;1,1
Oslo - Bygdøy Ii;SN18810;15.11.2025;2,2
Oslo - Hovin;SN18210;15.11.2025;1,6
Tryvannshøgda;SN18950;15.11.2025;-0,5
Trondheim - Voll;SN68860;15.11.2025;2,8
Trondheim - Voll Plu;SN68863;15.11.2025;2,7
Stavanger - Våland;SN44640;15.11.2025;4,8
Bergen - Florida;SN50540;15.11.2025;3,6
Bergen - Florida Uib;SN50539;15.11.2025;3,5
Bjørnholt;SN18500;16.11.2025;4
Oslo - Blindern;SN18700;16.11.2025;5,8
Oslo - Bygdøy Ii;SN18810;16.11.2025;3,6
Oslo - Hovin;SN18210;16.11.2025;6,1
Tryvannshøgda;SN18950;16.11.2025;3,2
Trondheim - Voll;SN68860;16.11.2025;4,1
Trondheim - Voll Plu;SN68863;16.11.2025;3,9
Stavanger - Våland;SN44640;16.11.2025;6,3
Bergen - Florida;SN50540;16.11.2025;5,1
Bergen - Florida Uib;SN50539;16.11.2025;5,1
Bjørnholt;SN18500;17.11.2025;1,5
Oslo - Blindern;SN18700;17.11.2025;3,7
Oslo - Bygdøy Ii;SN18810;17.11.2025;3,9
Oslo - Hovin;SN18210;17.11.2025;3,4
Tryvannshøgda;SN18950;17.11.2025;0,3
Trondheim - Voll;SN68860;17.11.2025;1,3
Trondheim - Voll Plu;SN68863;17.11.2025;1,1
Stavanger - Våland;SN44640;17.11.2025;5,3
Bergen - Florida;SN50540;17.11.2025;4,1
Bergen - Florida Uib;SN50539;17.11.2025;4,1
Bjørnholt;SN18500;18.11.2025;1,6
Oslo - Blindern;SN18700;18.11.2025;1,6
Oslo - Bygdøy Ii;SN18810;18.11.2025;1,6
Oslo - Hovin;SN18210;18.11.2025;2,5
Tryvannshøgda;SN18950;18.11.2025;1,1
Trondheim - Voll;SN68860;18.11.2025;0,5
Trondheim - Voll Plu;SN68863;18.11.2025;0,3
Stavanger - Våland;SN44640;18.11.2025;3,5
Bergen - Florida;SN50540;18.11.2025;2,3
Bergen - Florida Uib;SN50539;18.11.2025;2,2
Bjørnholt;SN18500;19.11.2025;-2,1
Oslo - Blindern;SN18700;19.11.2025;0,2
Oslo - Bygdøy Ii;SN18810;19.11.2025;0,3
Oslo - Hovin;SN18210;19.11.2025;0,3
Tryvannshøgda;SN18950;19.11.2025;-3
Trondheim - Voll;SN68860;19.11.2025;-1,5
Trondheim - Voll Plu;SN68863;19.11.2025;-1,7
Stavanger - Våland;SN44640;19.11.2025;1,3
Bergen - Florida;SN50540;19.11.2025;0,5
Bergen - Florida Uib;SN50539;19.11.2025;0,8
Bjørnholt;SN18500;20.11.2025;-3
Oslo - Blindern;SN18700;20.11.2025;-0,8
Oslo - Bygdøy Ii;SN18810;20.11.2025;-0,4
Oslo - Hovin;SN18210;20.11.2025;-0,4
Tryvannshøgda;SN18950;20.11.2025;-4,3
Trondheim - Voll;SN68860;20.11.2025;-1,2
Trondheim - Voll Plu;SN68863;20.11.2025;-1,3
Stavanger - Våland;SN44640;20.11.2025;1,3
Bergen - Florida;SN50540;20.11.2025;0
Bergen - Florida Uib;SN50539;20.11.2025;0,3
Bjørnholt;SN18500;21.11.2025;-2,5
Oslo - Blindern;SN18700;21.11.2025;-1,1
Oslo - Bygdøy Ii;SN18810;21.11.2025;-1,5
Oslo - Hovin;SN18210;21.11.2025;-0,9
Tryvannshøgda;SN18950;21.11.2025;-2,3
Trondheim - Voll;SN68860;21.11.2025;1,3
Trondheim - Voll Plu;SN68863;21.11.2025;1,1
Stavanger - Våland;SN44640;21.11.2025;2,1
Bergen - Florida;SN50540;21.11.2025;1,7
Bergen - Florida Uib;SN50539;21.11.2025;1,7
Bjørnholt;SN18500;22.11.2025;2,5
Oslo - Blindern;SN18700;22.11.2025;3,7
Oslo - Bygdøy Ii;SN18810;22.11.2025;2,7
Oslo - Hovin;SN18210;22.11.2025;4,7
Tryvannshøgda;SN18950;22.11.2025;1,8
Trondheim - Voll;SN68860;22.11.2025;4,4
Trondheim - Voll Plu;SN68863;22.11.2025;4,2
Stavanger - Våland;SN44640;22.11.2025;7,5
Bergen - Florida;SN50540;22.11.2025;6,3
Bergen - Florida Uib;SN50539;22.11.2025;6,3
Bjørnholt;SN18500;23.11.2025;3,5
Oslo - Blindern;SN18700;23.11.2025;5,2
Oslo - Bygdøy Ii;SN18810;23.11.2025;4,9
Oslo - Hovin;SN18210;23.11.2025;5,9
Tryvannshøgda;SN18950;23.11.2025;2,7
Trondheim - Voll;SN68860;23.11.2025;4,5
Trondheim - Voll Plu;SN68863;23.11.2025;4,3
Stavanger - Våland;SN44640;23.11.2025;8,5
Bergen - Florida;SN50540;23.11.2025;6,2
Bergen - Florida Uib;SN50539;23.11.2025;6,4
Bjørnholt;SN18500;24.11.2025;1,6
Oslo - Blindern;SN18700;24.11.2025;3,8
Oslo - Bygdøy Ii;SN18810;24.11.2025;4,4
Oslo - Hovin;SN18210;24.11.2025;3,8
Tryvannshøgda;SN18950;24.11.2025;0,7
Trondheim - Voll;SN68860;24.11.2025;1,6
Trondheim - Voll Plu;SN68863;24.11.2025;1,4
Stavanger - Våland;SN44640;24.11.2025;6,1
Bergen - Florida;SN50540;24.11.2025;3,2
Bergen - Florida Uib;SN50539;24.11.2025;3,3
Bjørnholt;SN18500;25.11.2025;-1,6
Oslo - Blindern;SN18700;25.11.2025;0,8
Oslo - Bygdøy Ii;SN18810;25.11.2025;0,7
Oslo - Hovin;SN18210;25.11.2025;0,9
Tryvannshøgda;SN18950;25.11.2025;-2,5
Trondheim - Voll;SN68860;25.11.2025;-1
Trondheim - Voll Plu;SN68863;25.11.2025;-1,2
Stavanger - Våland;SN44640;25.11.2025;3,4
Bergen - Florida;SN50540;25.11.2025;1,6
Bergen - Florida Uib;SN50539;25.11.2025;1,8
Bjørnholt;SN18500;26.11.2025;-3,3
Oslo - Blindern;SN18700;26.11.2025;0
Oslo - Bygdøy Ii;SN18810;26.11.2025;-0,4
Oslo - Hovin;SN18210;26.11.2025;-0,6
Tryvannshøgda;SN18950;26.11.2025;-3,9
Trondheim - Voll;SN68860;26.11.2025;1,6
Trondheim - Voll Plu;SN68863;26.11.2025;1,6
Stavanger - Våland;SN44640;26.11.2025;5,7
Bergen - Florida;SN50540;26.11.2025;5,4
Bergen - Florida Uib;SN50539;26.11.2025;5,4
Bjørnholt;SN18500;27.11.2025;4,4
Oslo - Blindern;SN18700;27.11.2025;6,5
Oslo - Bygdøy Ii;SN18810;27.11.2025;6,8
Oslo - Hovin;SN18210;27.11.2025;6,6
Tryvannshøgda;SN18950;27.11.2025;4,4
Trondheim - Voll;SN68860;27.11.2025;3,3
Trondheim - Voll Plu;SN68863;27.11.2025;3,1
Stavanger - Våland;SN44640;27.11.2025;10,6
Bergen - Florida;SN50540;27.11.2025;9,8
Bergen - Florida Uib;SN50539;27.11.2025;9,9
Bjørnholt;SN18500;28.11.2025;7,8
Oslo - Blindern;SN18700;28.11.2025;9,4
Oslo - Bygdøy Ii;SN18810;28.11.2025;10
Oslo - Hovin;SN18210;28.11.2025;10,5
Tryvannshøgda;SN18950;28.11.2025;7
Trondheim - Voll;SN68860;28.11.2025;8,2
Trondheim - Voll Plu;SN68863;28.11.2025;8
Stavanger - Våland;SN44640;28.11.2025;10,8
Bergen - Florida;SN50540;28.11.2025;11,3
Bergen - Florida Uib;SN50539;28.11.2025;11,4
Bjørnholt;SN18500;29.11.2025;5,9
Oslo - Blindern;SN18700;29.11.2025;8,6
Oslo - Bygdøy Ii;SN18810;29.11.2025;9,1
Oslo - Hovin;SN18210;29.11.2025;8,8
Tryvannshøgda;SN18950;29.11.2025;4,9
