Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Tryvannshøgda;SN18950;27.08.2025;14,3
Trondheim - Voll;SN68860;27.08.2025;18,6
Trondheim - Voll Plu;SN68863;27.08.2025;18,6
Stavanger - Våland;SN44640;27.08.2025;21,8
Bergen - Florida;SN50540;27.08.2025;22
Bergen - Florida Uib;SN50539;27.08.2025;21,9
Bjørnholt;SN18500;28.08.2025;14,6
Oslo - Blindern;SN18700;28.08.2025;17,2
Oslo - Bygdøy Ii;SN18810;28.08.2025;18,2
Oslo - Hovin;SN18210;28.08.2025;17,7
Tryvannshøgda;SN18950;28.08.2025;13,3
Trondheim - Voll;SN68860;28.08.2025;20,4
Trondheim - Voll Plu;SN68863;28.08.2025;20,2
Stavanger - Våland;SN44640;28.08.2025;20,1
Bergen - Florida;SN50540;28.08.2025;22,6
Bergen - Florida Uib;SN50539;28.08.2025;22,8
Bjørnholt;SN18500;29.08.2025;14,3
Oslo - Blindern;SN18700;29.08.2025;15,9
Oslo - Bygdøy Ii;SN18810;29.08.2025;16,6
Oslo - Hovin;SN18210;29.08.2025;16,1
Tryvannshøgda;SN18950;29.08.2025;12,7
Trondheim - Voll;SN68860;29.08.2025;22,4
Trondheim - Voll Plu;SN68863;29.08.2025;22,4
Stavanger - Våland;SN44640;29.08.2025;21,8
Bergen - Florida;SN50540;29.08.2025;20,2
Bergen - Florida Uib;SN50539;29.08.2025;19,9
Bjørnholt;SN18500;30.08.2025;19,3
Oslo - Blindern;SN18700;30.08.2025;21,2
Oslo - Bygdøy Ii;SN18810;30.08.2025;22,2
Oslo - Hovin;SN18210;30.08.2025;21,1
Tryvannshøgda;SN18950;30.08.2025;16,8
Trondheim - Voll;SN68860;30.08.2025;20,6
Trondheim - Voll Plu;SN68863;30.08.2025;20,6
Stavanger - Våland;SN44640;30.08.2025;22,1
Bergen - Florida;SN50540;30.08.2025;21,7
Bergen - Florida Uib;SN50539;30.08.2025;21,7
Bjørnholt;SN18500;31.08.2025;17,5
Oslo - Blindern;SN18700;31.08.2025;20,1
Oslo - Bygdøy Ii;SN18810;31.08.2025;20,4
Oslo - Hovin;SN18210;31.08.2025;19,5
Tryvannshøgda;SN18950;31.08.2025;15
Trondheim - Voll;SN68860;31.08.2025;22,4
Trondheim - Voll Plu;SN68863;31.08.2025;22,4
Stavanger - Våland;SN44640;31.08.2025;18,7
Bergen - Florida;SN50540;31.08.2025;20,3
Bergen - Florida Uib;SN50539;31.08.2025;20,2
Bjørnholt;SN18500;01.09.2025;17,6
Oslo - Blindern;SN18700;01.09.2025;20,5
Oslo - Bygdøy Ii;SN18810;01.09.2025;21,2
Oslo - Hovin;SN18210;01.09.2025;20,7
Tryvannshøgda;SN18950;01.09.2025;16,2
Trondheim - Voll;SN68860;01.09.2025;21,1
Trondheim - Voll Plu;SN68863;01.09.2025;21,2
Stavanger - Våland;SN44640;01.09.2025;17,8
Bergen - Florida;SN50540;01.09.2025;19,5
Bergen - Florida Uib;SN50539;01.09.2025;19,5
Bjørnholt;SN18500;02.09.2025;17,8
Oslo - Blindern;SN18700;02.09.2025;20,7
Oslo - Bygdøy Ii;SN18810;02.09.2025;20,1
Oslo - Hovin;SN18210;02.09.2025;19,9
Tryvannshøgda;SN18950;02.09.2025;16,7
Trondheim - Voll;SN68860;02.09.2025;22,1
Trondheim - Voll Plu;SN68863;02.09.2025;22,1
Stavanger - Våland;SN44640;02.09.2025;21
Bergen - Florida;SN50540;02.09.2025;18,1
Bergen - Florida Uib;SN50539;02.09.2025;18,1
Bjørnholt;SN18500;03.09.2025;17,9
Oslo - Blindern;SN18700;03.09.2025;20,7
Oslo - Bygdøy Ii;SN18810;03.09.2025;20,4
Oslo - Hovin;SN18210;03.09.2025;19,9
Tryvannshøgda;SN18950;03.09.2025;15,7
Trondheim - Voll;SN68860;03.09.2025;19,5
Trondheim - Voll Plu;SN68863;03.09.2025;19,5
