Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Bergen - Florida Uib;SN50539;11.02.2024;5,5
Gullfjellet;SN50865;11.02.2024;5
Sædalen;SN50503;11.02.2024;6,5
Flesland;SN50500;11.02.2024;2,2
E18 Hjortnes;SN18690;12.02.2024;-3
Oslo - Blindern;SN18700;12.02.2024;-3,2
Oslo - Bygdøy Ii;SN18810;12.02.2024;-2,9
Oslo - Hovin;SN18210;12.02.2024;-3,5
Oslo - Sofienberg;SN18315;12.02.2024;-2,9
Stavanger - Våland;SN44640;12.02.2024;4
Lade;SN68050;12.02.2024;-0,3
Åsane;SN50810;12.02.2024;4,6
Skredderdalen;SN50570;12.02.2024;4,2
Bergen - Florida;SN50540;12.02.2024;5
Bergen - Florida Uib;SN50539;12.02.2024;5
Gullfjellet;SN50865;12.02.2024;4,4
Sædalen;SN50503;12.02.2024;6,1
Flesland;SN50500;12.02.2024;3,3
E18 Hjortnes;SN18690;13.02.2024;-1,2
Oslo - Blindern;SN18700;13.02.2024;0
Oslo - Bygdøy Ii;SN18810;13.02.2024;-1
Oslo - Hovin;SN18210;13.02.2024;-1,8
Oslo - Sofienberg;SN18315;13.02.2024;-1,1
Stavanger - Våland;SN44640;13.02.2024;4,1
Lade;SN68050;13.02.2024;0
Åsane;SN50810;13.02.2024;4,1
Skredderdalen;SN50570;13.02.2024;3,3
Bergen - Florida;SN50540;13.02.2024;4,8
Bergen - Florida Uib;SN50539;13.02.2024;4,8
Gullfjellet;SN50865;13.02.2024;1,6
Sædalen;SN50503;13.02.2024;2,8
Flesland;SN50500;13.02.2024;3,4
E18 Hjortnes;SN18690;14.02.2024;1,1
Oslo - Blindern;SN18700;14.02.2024;0,7
Oslo - Bygdøy Ii;SN18810;14.02.2024;1,4
Oslo - Hovin;SN18210;14.02.2024;0,8
Oslo - Sofienberg;SN18315;14.02.2024;1,9
Stavanger - Våland;SN44640;14.02.2024;5,8
Lade;SN68050;14.02.2024;0,7
Åsane;SN50810;14.02.2024;5,3
Skredderdalen;SN50570;14.02.2024;4,1
Bergen - Florida;SN50540;14.02.2024;5,4
Bergen - Florida Uib;SN50539;14.02.2024;5,4
Gullfjellet;SN50865;14.02.2024;3,1
Sædalen;SN50503;14.02.2024;3,7
Flesland;SN50500;14.02.2024;5,2
E18 Hjortnes;SN18690;15.02.2024;2,6
Oslo - Blindern;SN18700;15.02.2024;2
Oslo - Bygdøy Ii;SN18810;15.02.2024;2,3
Oslo - Hovin;SN18210;15.02.2024;1,6
Oslo - Sofienberg;SN18315;15.02.2024;2,6
Stavanger - Våland;SN44640;15.02.2024;6,4
Lade;SN68050;15.02.2024;5
Åsane;SN50810;15.02.2024;4,7
Skredderdalen;SN50570;15.02.2024;4,5
Bergen - Florida;SN50540;15.02.2024;6,6
Bergen - Florida Uib;SN50539;15.02.2024;6,7
Gullfjellet;SN50865;15.02.2024;4,3
Sædalen;SN50503;15.02.2024;4,7
Flesland;SN50500;15.02.2024;4,3
E18 Hjortnes;SN18690;16.02.2024;1,8
Oslo - Blindern;SN18700;16.02.2024;1,8
Oslo - Bygdøy Ii;SN18810;16.02.2024;1,7
Oslo - Hovin;SN18210;16.02.2024;1,7
Oslo - Sofienberg;SN18315;16.02.2024;2,4
Stavanger - Våland;SN44640;16.02.2024;8,8
Lade;SN68050;16.02.2024;3
Åsane;SN50810;16.02.2024;7,4
Skredderdalen;SN50570;16.02.2024;5,9
Bergen - Florida;SN50540;16.02.2024;6,9
Bergen - Florida Uib;SN50539;16.02.2024;6,9
Gullfjellet;SN50865;16.02.2024;5,6
Sædalen;SN50503;16.02.2024;5,8
Flesland;SN50500;16.02.2024;6,3
E18 Hjortnes;SN18690;17.02.2024;3,4
Oslo - Blindern;SN18700;17.02.2024;5,7
Oslo - Bygdøy Ii;SN18810;17.02.2024;5,6
Oslo - Hovin;SN18210;17.02.2024;6,3
Oslo - Sofienberg;SN18315;17.02.2024;6,5
Stavanger - Våland;SN44640;17.02.2024;6
Lade;SN68050;17.02.2024;2,9
Åsane;SN50810;17.02.2024;5,6
Skredderdalen;SN50570;17.02.2024;1,7
Bergen - Florida;SN50540;17.02.2024;6,3
Bergen - Florida Uib;SN50539;17.02.2024;6,4
Gullfjellet;SN50865;17.02.2024;3,2
Sædalen;SN50503;17.02.2024;5,1
Flesland;SN50500;17.02.2024;4,6
E18 Hjortnes;SN18690;18.02.2024;0,6
Oslo - Blindern;SN18700;18.02.2024;0,2
Oslo - Bygdøy Ii;SN18810;18.02.2024;0,7
Oslo - Hovin;SN18210;18.02.2024;-1,1
Oslo - Sofienberg;SN18315;18.02.2024;-0,3
Stavanger - Våland;SN44640;18.02.2024;5,6
Lade;SN68050;18.02.2024;1
Åsane;SN50810;18.02.2024;2,9
Skredderdalen;SN50570;18.02.2024;4,3
Bergen - Florida;SN50540;18.02.2024;6,2
Bergen - Florida Uib;SN50539;18.02.2024;6,4
Gullfjellet;SN50865;18.02.2024;5
Sædalen;SN50503;18.02.2024;4
Flesland;SN50500;18.02.2024;5,4
E18 Hjortnes;SN18690;19.02.2024;1,9
Oslo - Blindern;SN18700;19.02.2024;3,8
Oslo - Bygdøy Ii;SN18810;19.02.2024;3,4
Oslo - Hovin;SN18210;19.02.2024;2,7
Oslo - Sofienberg;SN18315;19.02.2024;3,1
Stavanger - Våland;SN44640;19.02.2024;8,1
Lade;SN68050;19.02.2024;-1,6
Åsane;SN50810;19.02.2024;6,1
Skredderdalen;SN50570;19.02.2024;5,3
Bergen - Florida;SN50540;19.02.2024;7
Bergen - Florida Uib;SN50539;19.02.2024;7
Gullfjellet;SN50865;19.02.2024;4
Sædalen;SN50503;19.02.2024;5,4
Flesland;SN50500;19.02.2024;6,5
E18 Hjortnes;SN18690;20.02.2024;0,7
Oslo - Blindern;SN18700;20.02.2024;0
Oslo - Bygdøy Ii;SN18810;20.02.2024;-0,1
Oslo - Hovin;SN18210;20.02.2024;0,2
Oslo - Sofienberg;SN18315;20.02.2024;1,1
Stavanger - Våland;SN44640;20.02.2024;7,2
Lade;SN68050;20.02.2024;3,1
Åsane;SN50810;20.02.2024;7,6
Skredderdalen;SN50570;20.02.2024;5,5
Bergen - Florida;SN50540;20.02.2024;7,3
Bergen - Florida Uib;SN50539;20.02.2024;7,3
Gullfjellet;SN50865;20.02.2024;5
Sædalen;SN50503;20.02.2024;5,3
Flesland;SN50500;20.02.2024;6,6
E18 Hjortnes;SN18690;21.02.2024;2,4
Oslo - Blindern;SN18700;21.02.2024;3,4
Oslo - Bygdøy Ii;SN18810;21.02.2024;4,1
Oslo - Hovin;SN18210;21.02.2024;1,9
Oslo - Sofienberg;SN18315;21.02.2024;4,5
Stavanger - Våland;SN44640;21.02.2024;6,5
Lade;SN68050;21.02.2024;5,8
Åsane;SN50810;21.02.2024;8,5
Skredderdalen;SN50570;21.02.2024;6,9
Bergen - Florida;SN50540;21.02.2024;8,7
Bergen - Florida Uib;SN50539;21.02.2024;8,7
Gullfjellet;SN50865;21.02.2024;6,3
Sædalen;SN50503;21.02.2024;7
Flesland;SN50500;21.02.2024;7,7
E18 Hjortnes;SN18690;22.02.2024;4,6
Oslo - Blindern;SN18700;22.02.2024;4,2
Oslo - Bygdøy Ii;SN18810;22.02.2024;4,2
Oslo - Hovin;SN18210;22.02.2024;4,6
Oslo - Sofienberg;SN18315;22.02.2024;5,3
Stavanger - Våland;SN44640;22.02.2024;9,3
Lade;SN68050;22.02.2024;8,7
Åsane;SN50810;22.02.2024;8,4
Skredderdalen;SN50570;22.02.2024;6,8
Bergen - Florida;SN50540;22.02.2024;8,7
Bergen - Florida Uib;SN50539;22.02.2024;8,7
Gullfjellet;SN50865;22.02.2024;6,1
Sædalen;SN50503;22.02.2024;7
Flesland;SN50500;22.02.2024;7,8
E18 Hjortnes;SN18690;23.02.2024;5,3
Oslo - Blindern;SN18700;23.02.2024;4,5
Oslo - Bygdøy Ii;SN18810;23.02.2024;4,9
Oslo - Hovin;SN18210;23.02.2024;4,4
Oslo - Sofienberg;SN18315;23.02.2024;5
Stavanger - Våland;SN44640;23.02.2024;6,9
Lade;SN68050;23.02.2024;7,9
Åsane;SN50810;23.02.2024;7,2
Skredderdalen;SN50570;23.02.2024;4,3
Bergen - Florida;SN50540;23.02.2024;7,4
Bergen - Florida Uib;SN50539;23.02.2024;7,3
Gullfjellet;SN50865;23.02.2024;6
Sædalen;SN50503;23.02.2024;6,6
Flesland;SN50500;23.02.2024;6,5
E18 Hjortnes;SN18690;24.02.2024;5,3
Oslo - Blindern;SN18700;24.02.2024;4,5
Oslo - Bygdøy Ii;SN18810;24.02.2024;5,9
Oslo - Hovin;SN18210;24.02.2024;4,7
Oslo - Sofienberg;SN18315;24.02.2024;6
Stavanger - Våland;SN44640;24.02.2024;7,6
Lade;SN68050;24.02.2024;8,6
Åsane;SN50810;24.02.2024;6,1
Skredderdalen;SN50570;24.02.2024;4,6
Bergen - Florida;SN50540;24.02.2024;6,7
Bergen - Florida Uib;SN50539;24.02.2024;6,7
Gullfjellet;SN50865;24.02.2024;3
Sædalen;SN50503;24.02.2024;5,2
Flesland;SN50500;24.02.2024;6,6
E18 Hjortnes;SN18690;25.02.2024;4,2
Oslo - Blindern;SN18700;25.02.2024;3,7
Oslo - Bygdøy Ii;SN18810;25.02.2024;4,3
Oslo - Hovin;SN18210;25.02.2024;3,7
Oslo - Sofienberg;SN18315;25.02.2024;5
Stavanger - Våland;SN44640;25.02.2024;6,3
Lade;SN68050;25.02.2024;8,2
Åsane;SN50810;25.02.2024;5,3
Skredderdalen;SN50570;25.02.2024;3,8
Bergen - Florida;SN50540;25.02.2024;5,8
Bergen - Florida Uib;SN50539;25.02.2024;5,9
Gullfjellet;SN50865;25.02.2024;2,7
Sædalen;SN50503;25.02.2024;3,6
Flesland;SN50500;25.02.2024;4,9
E18 Hjortnes;SN18690;26.02.2024;5,3
Oslo - Blindern;SN18700;26.02.2024;5,3
Oslo - Bygdøy Ii;SN18810;26.02.2024;7,2
Oslo - Hovin;SN18210;26.02.2024;4,1
Oslo - Sofienberg;SN18315;26.02.2024;5,4
Stavanger - Våland;SN44640;26.02.2024;6,5
Lade;SN68050;26.02.2024;5,4
Åsane;SN50810;26.02.2024;5,2
Skredderdalen;SN50570;26.02.2024;3,6
Bergen - Florida;SN50540;26.02.2024;5,8
Bergen - Florida Uib;SN50539;26.02.2024;5,6
Gullfjellet;SN50865;26.02.2024;3,2
Sædalen;SN50503;26.02.2024;4,8
Flesland;SN50500;26.02.2024;5,3
E18 Hjortnes;SN18690;27.02.2024;4
Oslo - Blindern;SN18700;27.02.2024;3,3
Oslo - Bygdøy Ii;SN18810;27.02.2024;4,2
Oslo - Hovin;SN18210;27.02.2024;3,3
Oslo - Sofienberg;SN18315;27.02.2024;4,4
Stavanger - Våland;SN44640;27.02.2024;5
Lade;SN68050;27.02.2024;4,7
Åsane;SN50810;27.02.2024;4
Skredderdalen;SN50570;27.02.2024;2,4
Bergen - Florida;SN50540;27.02.2024;4,7
Bergen - Florida Uib;SN50539;27.02.2024;4,7
Gullfjellet;SN50865;27.02.2024;1,3
Sædalen;SN50503;27.02.2024;2,5
Flesland;SN50500;27.02.2024;4,1
E18 Hjortnes;SN18690;28.02.2024;6,4
Oslo - Blindern;SN18700;28.02.2024;6,9
Oslo - Bygdøy Ii;SN18810;28.02.2024;7,5
Oslo - Hovin;SN18210;28.02.2024;6,3
Oslo - Sofienberg;SN18315;28.02.2024;8,8
Stavanger - Våland;SN44640;28.02.2024;8,5
Lade;SN68050;28.02.2024;9
Åsane;SN50810;28.02.2024;6,4
Skredderdalen;SN50570;28.02.2024;5
Bergen - Florida;SN50540;28.02.2024;7,1
Bergen - Florida Uib;SN50539;28.02.2024;7,1
Gullfjellet;SN50865;28.02.2024;4,3
Sædalen;SN50503;28.02.2024;5,4
Flesland;SN50500;28.02.2024;6,6
Oslo - Blindern;SN18700;29.02.2024;4,4
Oslo - Bygdøy Ii;SN18810;29.02.2024;4,9
Oslo - Hovin;SN18210;29.02.2024;4,5
Oslo - Sofienberg;SN18315;29.02.2024;5,4
Stavanger - Våland;SN44640;29.02.2024;9,1
Lade;SN68050;29.02.2024;9,9
Åsane;SN50810;29.02.2024;7,8
Skredderdalen;SN50570;29.02.2024;5,7
Bergen - Florida;SN50540;29.02.2024;7,8
Bergen - Florida Uib;SN50539;29.02.2024;7,8
Gullfjellet;SN50865;29.02.2024;4,8
Sædalen;SN50503;29.02.2024;5,9
Flesland;SN50500;29.02.2024;7,4
E18 Hjortnes;SN18690;01.03.2024;6
Oslo - Blindern;SN18700;01.03.2024;4,7
Oslo - Bygdøy Ii;SN18810;01.03.2024;5,1
Oslo - Hovin;SN18210;01.03.2024;4,9
Oslo - Sofienberg;SN18315;01.03.2024;5,4
Stavanger - Våland;SN44640;01.03.2024;8,8
Lade;SN68050;01.03.2024;9,7
Åsane;SN50810;01.03.2024;7,2
Skredderdalen;SN50570;01.03.2024;5,4
Bergen - Florida;SN50540;01.03.2024;7,4
Bergen - Florida Uib;SN50539;01.03.2024;7,4
Gullfjellet;SN50865;01.03.2024;6,6
Sædalen;SN50503;01.03.2024;6,8
Flesland;SN50500;01.03.2024;6,5
E18 Hjortnes;SN18690;02.03.2024;6
Oslo - Blindern;SN18700;02.03.2024;4,9
Oslo - Bygdøy Ii;SN18810;02.03.2024;5,5
Oslo - Hovin;SN18210;02.03.2024;4,7
Oslo - Sofienberg;SN18315;02.03.2024;5,7
Stavanger - Våland;SN44640;02.03.2024;10,2
Lade;SN68050;02.03.2024;10
Åsane;SN50810;02.03.2024;11,8
Skredderdalen;SN50570;02.03.2024;10,1
Bergen - Florida;SN50540;02.03.2024;12,1
Bergen - Florida Uib;SN50539;02.03.2024;12,1
Gullfjellet;SN50865;02.03.2024;8,5
Sædalen;SN50503;02.03.2024;11,1
Flesland;SN50500;02.03.2024;10,8
E18 Hjortnes;SN18690;03.03.2024;5,4
Oslo - Blindern;SN18700;03.03.2024;4,6
Oslo - Bygdøy Ii;SN18810;03.03.2024;4,9
Oslo - Hovin;SN18210;03.03.2024;4,6
Oslo - Sofienberg;SN18315;03.03.2024;5,4
Stavanger - Våland;SN44640;03.03.2024;10,5
Lade;SN68050;03.03.2024;10,6
Åsane;SN50810;03.03.2024;11,8
Skredderdalen;SN50570;03.03.2024;10,9
Bergen - Florida;SN50540;03.03.2024;11,8
Bergen - Florida Uib;SN50539;03.03.2024;11,9
Gullfjellet;SN50865;03.03.2024;9,8
Sædalen;SN50503;03.03.2024;11,6
Flesland;SN50500;03.03.2024;10,7
E18 Hjortnes;SN18690;04.03.2024;6
Oslo - Blindern;SN18700;04.03.2024;4,7
Oslo - Bygdøy Ii;SN18810;04.03.2024;5,1
Oslo - Hovin;SN18210;04.03.2024;4,6
Oslo - Sofienberg;SN18315;04.03.2024;5,3
Stavanger - Våland;SN44640;04.03.2024;10,5
Lade;SN68050;04.03.2024;10,1
Åsane;SN50810;04.03.2024;11,5
Skredderdalen;SN50570;04.03.2024;10,2
Bergen - Florida;SN50540;04.03.2024;12,2
Bergen - Florida Uib;SN50539;04.03.2024;12,2
Gullfjellet;SN50865;04.03.2024;9
Sædalen;SN50503;04.03.2024;10,9
Flesland;SN50500;04.03.2024;10,5
E18 Hjortnes;SN18690;05.03.2024;6,4
Oslo - Blindern;SN18700;05.03.2024;5
Oslo - Bygdøy Ii;SN18810;05.03.2024;5,2
Oslo - Hovin;SN18210;05.03.2024;4,8
Oslo - Sofienberg;SN18315;05.03.2024;5,8
Stavanger - Våland;SN44640;05.03.2024;10,3
Lade;SN68050;05.03.2024;9,2
Åsane;SN50810;05.03.2024;11,2
Skredderdalen;SN50570;05.03.2024;8,3
Bergen - Florida;SN50540;05.03.2024;12,8
Bergen - Florida Uib;SN50539;05.03.2024;12,6
Gullfjellet;SN50865;05.03.2024;8
Sædalen;SN50503;05.03.2024;11
Flesland;SN50500;05.03.2024;10,6
E18 Hjortnes;SN18690;06.03.2024;5,9
Oslo - Blindern;SN18700;06.03.2024;4,7
Oslo - Bygdøy Ii;SN18810;06.03.2024;4,8
Oslo - Hovin;SN18210;06.03.2024;4,5
Oslo - Sofienberg;SN18315;06.03.2024;5,7
Stavanger - Våland;SN44640;06.03.2024;5,5
Lade;SN68050;06.03.2024;6,3
Åsane;SN50810;06.03.2024;5,6
Skredderdalen;SN50570;06.03.2024;3,7
Bergen - Florida;SN50540;06.03.2024;6,8
Bergen - Florida Uib;SN50539;06.03.2024;6,7
Gullfjellet;SN50865;06.03.2024;3
Sædalen;SN50503;06.03.2024;5,2
Flesland;SN50500;06.03.2024;6
E18 Hjortnes;SN18690;07.03.2024;5
Oslo - Blindern;SN18700;07.03.2024;7,6
Oslo - Bygdøy Ii;SN18810;07.03.2024;5,9
Oslo - Hovin;SN18210;07.03.2024;8,4
Oslo - Sofienberg;SN18315;07.03.2024;9,1
Stavanger - Våland;SN44640;07.03.2024;5,7
Lade;SN68050;07.03.2024;5,2
Åsane;SN50810;07.03.2024;6,1
Skredderdalen;SN50570;07.03.2024;4,3
Bergen - Florida;SN50540;07.03.2024;6
Bergen - Florida Uib;SN50539;07.03.2024;6
Gullfjellet;SN50865;07.03.2024;4,1
Sædalen;SN50503;07.03.2024;5,1
Flesland;SN50500;07.03.2024;5,7
E18 Hjortnes;SN18690;08.03.2024;7,3
Oslo - Blindern;SN18700;08.03.2024;6,9
Oslo - Bygdøy Ii;SN18810;08.03.2024;7
Oslo - Hovin;SN18210;08.03.2024;6
Oslo - Sofienberg;SN18315;08.03.2024;7
Stavanger - Våland;SN44640;08.03.2024;8,2
Lade;SN68050;08.03.2024;3,6
Åsane;SN50810;08.03.2024;8,2
Skredderdalen;SN50570;08.03.2024;3
Bergen - Florida;SN50540;08.03.2024;9,1
Bergen - Florida Uib;SN50539;08.03.2024;9,2
Gullfjellet;SN50865;08.03.2024;6,6
Sædalen;SN50503;08.03.2024;8,2
Flesland;SN50500;08.03.2024;7,5
E18 Hjortnes;SN18690;09.03.2024;4,2
Oslo - Blindern;SN18700;09.03.2024;2,9
Oslo - Bygdøy Ii;SN18810;09.03.2024;2,6
Oslo - Hovin;SN18210;09.03.2024;2,8
Oslo - Sofienberg;SN18315;09.03.2024;3
Stavanger - Våland;SN44640;09.03.2024;8,8
Lade;SN68050;09.03.2024;3,9
Åsane;SN50810;09.03.2024;8,7
Skredderdalen;SN50570;09.03.2024;6,3
Bergen - Florida;SN50540;09.03.2024;9,7
Bergen - Florida Uib;SN50539;09.03.2024;9,8
Gullfjellet;SN50865;09.03.2024;5,8
Sædalen;SN50503;09.03.2024;8,3
Flesland;SN50500;09.03.2024;8,5
E18 Hjortnes;SN18690;10.03.2024;1,5
Oslo - Blindern;SN18700;10.03.2024;0,5
Oslo - Bygdøy Ii;SN18810;10.03.2024;1,1
Oslo - Hovin;SN18210;10.03.2024;0,4
Oslo - Sofienberg;SN18315;10.03.2024;1
Stavanger - Våland;SN44640;10.03.2024;6,3
Lade;SN68050;10.03.2024;2,6
Åsane;SN50810;10.03.2024;6,4
Skredderdalen;SN50570;10.03.2024;3,6
Bergen - Florida;SN50540;10.03.2024;8,2
Bergen - Florida Uib;SN50539;10.03.2024;8
Gullfjellet;SN50865;10.03.2024;3,9
Sædalen;SN50503;10.03.2024;6,1
Flesland;SN50500;10.03.2024;6,1
E18 Hjortnes;SN18690;11.03.2024;3,7
Oslo - Blindern;SN18700;11.03.2024;2,4
Oslo - Bygdøy Ii;SN18810;11.03.2024;2,9
Oslo - Hovin;SN18210;11.03.2024;2,3
Oslo - Sofienberg;SN18315;11.03.2024;3,5
Stavanger - Våland;SN44640;11.03.2024;8,5
Lade;SN68050;11.03.2024;3,3
Åsane;SN50810;11.03.2024;7
Skredderdalen;SN50570;11.03.2024;5,2
Bergen - Florida;SN50540;11.03.2024;7,2
Bergen - Florida Uib;SN50539;11.03.2024;7,2
Gullfjellet;SN50865;11.03.2024;6,5
Sædalen;SN50503;11.03.2024;7,3
Flesland;SN50500;11.03.2024;6,4
E18 Hjortnes;SN18690;12.03.2024;6,5
Oslo - Blindern;SN18700;12.03.2024;7,1
Oslo - Bygdøy Ii;SN18810;12.03.2024;6,2
Oslo - Hovin;SN18210;12.03.2024;6,8
Oslo - Sofienberg;SN18315;12.03.2024;8,1
Stavanger - Våland;SN44640;12.03.2024;6,7
Lade;SN68050;12.03.2024;4,1
Åsane;SN50810;12.03.2024;8
Skredderdalen;SN50570;12.03.2024;5,9
Bergen - Florida;SN50540;12.03.2024;8
Bergen - Florida Uib;SN50539;12.03.2024;8,1
Gullfjellet;SN50865;12.03.2024;8,7
Sædalen;SN50503;12.03.2024;8,9
Flesland;SN50500;12.03.2024;6,6
E18 Hjortnes;SN18690;13.03.2024;3,9
Oslo - Blindern;SN18700;13.03.2024;3,5
Oslo - Bygdøy Ii;SN18810;13.03.2024;3,7
Oslo - Hovin;SN18210;13.03.2024;3,8
Oslo - Sofienberg;SN18315;13.03.2024;4,4
Stavanger - Våland;SN44640;13.03.2024;7,9
Lade;SN68050;13.03.2024;8,7
Åsane;SN50810;13.03.2024;8,7
Skredderdalen;SN50570;13.03.2024;7
Bergen - Florida;SN50540;13.03.2024;8,8
Bergen - Florida Uib;SN50539;13.03.2024;8,8
Gullfjellet;SN50865;13.03.2024;6,6
Sædalen;SN50503;13.03.2024;6,9
Flesland;SN50500;13.03.2024;7,9
E18 Hjortnes;SN18690;14.03.2024;8,9
Oslo - Blindern;SN18700;14.03.2024;9,8
Oslo - Bygdøy Ii;SN18810;14.03.2024;10,4
Oslo - Hovin;SN18210;14.03.2024;9,6
Oslo - Sofienberg;SN18315;14.03.2024;10,8
Stavanger - Våland;SN44640;14.03.2024;9
Lade;SN68050;14.03.2024;11,9
Åsane;SN50810;14.03.2024;8,1
Skredderdalen;SN50570;14.03.2024;6,5
Bergen - Florida;SN50540;14.03.2024;8,6
Bergen - Florida Uib;SN50539;14.03.2024;8,6
Gullfjellet;SN50865;14.03.2024;6,1
Sædalen;SN50503;14.03.2024;6,8
Flesland;SN50500;14.03.2024;8,5
E18 Hjortnes;SN18690;15.03.2024;6,7
Oslo - Blindern;SN18700;15.03.2024;5,6
Oslo - Bygdøy Ii;SN18810;15.03.2024;6,2
Oslo - Hovin;SN18210;15.03.2024;6,8
Oslo - Sofienberg;SN18315;15.03.2024;6,9
Stavanger - Våland;SN44640;15.03.2024;8,1
Lade;SN68050;15.03.2024;7,4
Åsane;SN50810;15.03.2024;6,4
Skredderdalen;SN50570;15.03.2024;5,6
Bergen - Florida;SN50540;15.03.2024;7,8
Bergen - Florida Uib;SN50539;15.03.2024;7,8
Gullfjellet;SN50865;15.03.2024;4,4
Sædalen;SN50503;15.03.2024;5,7
Flesland;SN50500;15.03.2024;6,5
E18 Hjortnes;SN18690;16.03.2024;5,3
Oslo - Blindern;SN18700;16.03.2024;4,8
Oslo - Bygdøy Ii;SN18810;16.03.2024;4,8
Oslo - Hovin;SN18210;16.03.2024;4,9
Oslo - Sofienberg;SN18315;16.03.2024;5,5
Stavanger - Våland;SN44640;16.03.2024;7,8
Lade;SN68050;16.03.2024;4
Åsane;SN50810;16.03.2024;7,5
Skredderdalen;SN50570;16.03.2024;5,5
Bergen - Florida;SN50540;16.03.2024;9,1
Bergen - Florida Uib;SN50539;16.03.2024;9,1
Gullfjellet;SN50865;16.03.2024;4,1
Sædalen;SN50503;16.03.2024;6,3
Flesland;SN50500;16.03.2024;7,9
E18 Hjortnes;SN18690;17.03.2024;2,8
Oslo - Blindern;SN18700;17.03.2024;2
Oslo - Bygdøy Ii;SN18810;17.03.2024;3
Oslo - Hovin;SN18210;17.03.2024;1,2
Oslo - Sofienberg;SN18315;17.03.2024;2,8
Stavanger - Våland;SN44640;17.03.2024;5,4
Lade;SN68050;17.03.2024;5,4
Åsane;SN50810;17.03.2024;6,1
Skredderdalen;SN50570;17.03.2024;4,7
Bergen - Florida;SN50540;17.03.2024;6,3
Bergen - Florida Uib;SN50539;17.03.2024;6,3
Gullfjellet;SN50865;17.03.2024;3,6
Sædalen;SN50503;17.03.2024;5,1
Flesland;SN50500;17.03.2024;5,5
E18 Hjortnes;SN18690;18.03.2024;2,3
Oslo - Blindern;SN18700;18.03.2024;2,5
Oslo - Bygdøy Ii;SN18810;18.03.2024;2,1
Oslo - Hovin;SN18210;18.03.2024;2,2
Oslo - Sofienberg;SN18315;18.03.2024;3,7
Stavanger - Våland;SN44640;18.03.2024;6,5
Lade;SN68050;18.03.2024;9,1
Åsane;SN50810;18.03.2024;6,7
Skredderdalen;SN50570;18.03.2024;5,7
Bergen - Florida;SN50540;18.03.2024;7,4
Bergen - Florida Uib;SN50539;18.03.2024;7,4
Gullfjellet;SN50865;18.03.2024;4,6
Sædalen;SN50503;18.03.2024;5,3
Flesland;SN50500;18.03.2024;6,5
E18 Hjortnes;SN18690;19.03.2024;2,8
Oslo - Blindern;SN18700;19.03.2024;2,2
Oslo - Bygdøy Ii;SN18810;19.03.2024;2,9
Oslo - Hovin;SN18210;19.03.2024;2,2
Oslo - Sofienberg;SN18315;19.03.2024;3,5
Stavanger - Våland;SN44640;19.03.2024;7,4
Lade;SN68050;19.03.2024;10,7
Åsane;SN50810;19.03.2024;8,8
Skredderdalen;SN50570;19.03.2024;7,3
Bergen - Florida;SN50540;19.03.2024;9,1
Bergen - Florida Uib;SN50539;19.03.2024;9,1
Gullfjellet;SN50865;19.03.2024;6,3
Sædalen;SN50503;19.03.2024;7,2
Flesland;SN50500;19.03.2024;8
E18 Hjortnes;SN18690;20.03.2024;4,8
Oslo - Blindern;SN18700;20.03.2024;5,1
Oslo - Bygdøy Ii;SN18810;20.03.2024;5,5
Oslo - Hovin;SN18210;20.03.2024;4,4
Oslo - Sofienberg;SN18315;20.03.2024;6,1
Stavanger - Våland;SN44640;20.03.2024;8,1
Lade;SN68050;20.03.2024;8,3
Åsane;SN50810;20.03.2024;7,3
Skredderdalen;SN50570;20.03.2024;6
Bergen - Florida;SN50540;20.03.2024;8,1
Bergen - Florida Uib;SN50539;20.03.2024;8,1
Gullfjellet;SN50865;20.03.2024;5
Sædalen;SN50503;20.03.2024;6,6
Flesland;SN50500;20.03.2024;7,2
E18 Hjortnes;SN18690;21.03.2024;6,9
Oslo - Blindern;SN18700;21.03.2024;7,3
Oslo - Bygdøy Ii;SN18810;21.03.2024;7,6
Oslo - Hovin;SN18210;21.03.2024;6,8
Oslo - Sofienberg;SN18315;21.03.2024;8,5
Stavanger - Våland;SN44640;21.03.2024;5,9
Lade;SN68050;21.03.2024;8,6
Åsane;SN50810;21.03.2024;5,4
Skredderdalen;SN50570;21.03.2024;3,8
Bergen - Florida;SN50540;21.03.2024;5,4
Bergen - Florida Uib;SN50539;21.03.2024;5,4
Sædalen;SN50503;21.03.2024;3,6
Flesland;SN50500;21.03.2024;5
E18 Hjortnes;SN18690;22.03.2024;11,8
Oslo - Blindern;SN18700;22.03.2024;12,2
Oslo - Bygdøy Ii;SN18810;22.03.2024;12,1
Oslo - Hovin;SN18210;22.03.2024;10,9
Oslo - Sofienberg;SN18315;22.03.2024;12,4
Stavanger - Våland;SN44640;22.03.2024;8
Lade;SN68050;22.03.2024;9,9
Åsane;SN50810;22.03.2024;7,2
Skredderdalen;SN50570;22.03.2024;6,1
Bergen - Florida;SN50540;22.03.2024;6,9
Bergen - Florida Uib;SN50539;22.03.2024;6,9
Sædalen;SN50503;22.03.2024;5,5
Flesland;SN50500;22.03.2024;6,7
E18 Hjortnes;SN18690;23.03.2024;8,2
Oslo - Blindern;SN18700;23.03.2024;7,1
Oslo - Bygdøy Ii;SN18810;23.03.2024;8,2
Oslo - Hovin;SN18210;23.03.2024;7,7
Oslo - Sofienberg;SN18315;23.03.2024;8,1
