Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Tryvannshøgda;SN18950;01.09.2016;18,3
Trondheim - Voll;SN68860;01.09.2016;15
Stavanger - Våland;SN44640;01.09.2016;17,1
Bergen - Florida;SN50540;01.09.2016;16,2
Bjørnholt;SN18500;02.09.2016;17,7
Oslo - Blindern;SN18700;02.09.2016;19
Oslo - Hovin;SN18210;02.09.2016;19,6
Tryvannshøgda;SN18950;02.09.2016;15,1
Trondheim - Voll;SN68860;02.09.2016;13,9
Stavanger - Våland;SN44640;02.09.2016;16,1
Bergen - Florida;SN50540;02.09.2016;14,8
Bjørnholt;SN18500;03.09.2016;19,5
Oslo - Blindern;SN18700;03.09.2016;21,3
Oslo - Hovin;SN18210;03.09.2016;21,8
Tryvannshøgda;SN18950;03.09.2016;17,7
Trondheim - Voll;SN68860;03.09.2016;13,9
Stavanger - Våland;SN44640;03.09.2016;17,3
Bergen - Florida;SN50540;03.09.2016;15,7
Bjørnholt;SN18500;04.09.2016;19,1
Oslo - Blindern;SN18700;04.09.2016;19,7
Oslo - Hovin;SN18210;04.09.2016;21,3
Tryvannshøgda;SN18950;04.09.2016;17,3
Trondheim - Voll;SN68860;04.09.2016;12,4
Stavanger - Våland;SN44640;04.09.2016;19,4
Bergen - Florida;SN50540;04.09.2016;20,4
Bjørnholt;SN18500;05.09.2016;18,5
Oslo - Blindern;SN18700;05.09.2016;20
Oslo - Hovin;SN18210;05.09.2016;20,9
Tryvannshøgda;SN18950;05.09.2016;15,9
Trondheim - Voll;SN68860;05.09.2016;13,7
Stavanger - Våland;SN44640;05.09.2016;21,4
Bergen - Florida;SN50540;05.09.2016;19,5
Bjørnholt;SN18500;06.09.2016;18,2
Oslo - Blindern;SN18700;06.09.2016;18,8
Oslo - Hovin;SN18210;06.09.2016;19,9
Tryvannshøgda;SN18950;06.09.2016;14,8
Trondheim - Voll;SN68860;06.09.2016;19,7
Stavanger - Våland;SN44640;06.09.2016;17,6
Bergen - Florida;SN50540;06.09.2016;16,9
Bjørnholt;SN18500;07.09.2016;22,3
Oslo - Blindern;SN18700;07.09.2016;23,4
Oslo - Hovin;SN18210;07.09.2016;24,4
Tryvannshøgda;SN18950;07.09.2016;20
Trondheim - Voll;SN68860;07.09.2016;14,5
Stavanger - Våland;SN44640;07.09.2016;18,9
Bergen - Florida;SN50540;07.09.2016;18,4
Bjørnholt;SN18500;08.09.2016;22,1
Oslo - Blindern;SN18700;08.09.2016;23,2
Oslo - Hovin;SN18210;08.09.2016;24,3
Tryvannshøgda;SN18950;08.09.2016;20,1
Trondheim - Voll;SN68860;08.09.2016;16,3
Stavanger - Våland;SN44640;08.09.2016;23,3
Bergen - Florida;SN50540;08.09.2016;24,6
Bjørnholt;SN18500;09.09.2016;17,5
Oslo - Blindern;SN18700;09.09.2016;19,8
Oslo - Hovin;SN18210;09.09.2016;21,7
Tryvannshøgda;SN18950;09.09.2016;15,7
Trondheim - Voll;SN68860;09.09.2016;17,4
Stavanger - Våland;SN44640;09.09.2016;20,5
Bergen - Florida;SN50540;09.09.2016;20,7
Bjørnholt;SN18500;10.09.2016;15,7
Oslo - Blindern;SN18700;10.09.2016;18
Oslo - Hovin;SN18210;10.09.2016;19,6
Tryvannshøgda;SN18950;10.09.2016;14,4
Trondheim - Voll;SN68860;10.09.2016;19,2
Stavanger - Våland;SN44640;10.09.2016;17,3
Bergen - Florida;SN50540;10.09.2016;17,5
Bjørnholt;SN18500;11.09.2016;19,4
Oslo - Blindern;SN18700;11.09.2016;21,9
Oslo - Hovin;SN18210;11.09.2016;22,6
Tryvannshøgda;SN18950;11.09.2016;17,6
Trondheim - Voll;SN68860;11.09.2016;13,2
Stavanger - Våland;SN44640;11.09.2016;16,9
Bergen - Florida;SN50540;11.09.2016;17,6
Bjørnholt;SN18500;12.09.2016;17,3
Oslo - Blindern;SN18700;12.09.2016;18,8
Oslo - Hovin;SN18210;12.09.2016;19,7
Tryvannshøgda;SN18950;12.09.2016;15
Trondheim - Voll;SN68860;12.09.2016;16,5
Stavanger - Våland;SN44640;12.09.2016;20,4
Bergen - Florida;SN50540;12.09.2016;21
Bjørnholt;SN18500;13.09.2016;21,7
Oslo - Blindern;SN18700;13.09.2016;22,5
Oslo - Hovin;SN18210;13.09.2016;23,5
Tryvannshøgda;SN18950;13.09.2016;19
Trondheim - Voll;SN68860;13.09.2016;18
Stavanger - Våland;SN44640;13.09.2016;27,3
Bergen - Florida;SN50540;13.09.2016;24,8
Bjørnholt;SN18500;14.09.2016;22,3
Oslo - Blindern;SN18700;14.09.2016;23,4
Oslo - Hovin;SN18210;14.09.2016;23,5
Tryvannshøgda;SN18950;14.09.2016;20,1
Trondheim - Voll;SN68860;14.09.2016;18
Stavanger - Våland;SN44640;14.09.2016;25
Bergen - Florida;SN50540;14.09.2016;20,2
Bjørnholt;SN18500;15.09.2016;24,4
Oslo - Blindern;SN18700;15.09.2016;23,3
Oslo - Hovin;SN18210;15.09.2016;24,8
